а	und, aber
щелкунчик	Nussknacker
щи	Kohlsuppe
экзамен	Prüfung
экономика	Wirtschaft
экономист	Volkswirt
экономический	wirtschaftlich
экскурсия	Ausflug
экскурсовод	Reiseführer
энергичный	energisch
энергия	Energie
этаж	Etage
это	das
этот	dieser
юбка	Rock
юг	Süden
южный	südlich
юмор	Humor
юность	Jugendzeit
юноша	junger Mann
юридический	juristisch
юрист	Jurist
я	ich
яблоко	Apfel
ягода	Beere
язык	Sprache, Zunge
яйцо	Ei
январь	Januar
яркий	leuchtend
